"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","RHP","Real house price indices, s.a.","1970-Q1","Q1-1970","IDX","Index","0","Units",,,30.8364836386339,,
"CAN","Canada","RHP","Real house price indices, s.a.","1970-Q2","Q2-1970","IDX","Index","0","Units",,,30.9691497483381,,
"CAN","Canada","RHP","Real house price indices, s.a.","1970-Q3","Q3-1970","IDX","Index","0","Units",,,31.4196032351836,,
"CAN","Canada","RHP","Real house price indices, s.a.","1970-Q4","Q4-1970","IDX","Index","0","Units",,,31.6671221969275,,
"CAN","Canada","RHP","Real house price indices, s.a.","1971-Q1","Q1-1971","IDX","Index","0","Units",,,31.4537183360913,,
"CAN","Canada","RHP","Real house price indices, s.a.","1971-Q2","Q2-1971","IDX","Index","0","Units",,,31.8151861041532,,
"CAN","Canada","RHP","Real house price indices, s.a.","1971-Q3","Q3-1971","IDX","Index","0","Units",,,31.7085867103603,,
"CAN","Canada","RHP","Real house price indices, s.a.","1971-Q4","Q4-1971","IDX","Index","0","Units",,,32.4453510876433,,
"CAN","Canada","RHP","Real house price indices, s.a.","1972-Q1","Q1-1972","IDX","Index","0","Units",,,32.594631197788,,
"CAN","Canada","RHP","Real house price indices, s.a.","1972-Q2","Q2-1972","IDX","Index","0","Units",,,32.6345093658606,,
"CAN","Canada","RHP","Real house price indices, s.a.","1972-Q3","Q3-1972","IDX","Index","0","Units",,,32.8562803874301,,
"CAN","Canada","RHP","Real house price indices, s.a.","1972-Q4","Q4-1972","IDX","Index","0","Units",,,33.5505740988895,,
"CAN","Canada","RHP","Real house price indices, s.a.","1973-Q1","Q1-1973","IDX","Index","0","Units",,,34.4314808043609,,
"CAN","Canada","RHP","Real house price indices, s.a.","1973-Q2","Q2-1973","IDX","Index","0","Units",,,35.8334822818732,,
"CAN","Canada","RHP","Real house price indices, s.a.","1973-Q3","Q3-1973","IDX","Index","0","Units",,,37.9962462556242,,
"CAN","Canada","RHP","Real house price indices, s.a.","1973-Q4","Q4-1973","IDX","Index","0","Units",,,40.3501719767034,,
"CAN","Canada","RHP","Real house price indices, s.a.","1974-Q1","Q1-1974","IDX","Index","0","Units",,,43.0781332842965,,
"CAN","Canada","RHP","Real house price indices, s.a.","1974-Q2","Q2-1974","IDX","Index","0","Units",,,44.0356640728786,,
"CAN","Canada","RHP","Real house price indices, s.a.","1974-Q3","Q3-1974","IDX","Index","0","Units",,,42.8328246765593,,
"CAN","Canada","RHP","Real house price indices, s.a.","1974-Q4","Q4-1974","IDX","Index","0","Units",,,41.0429543330241,,
"CAN","Canada","RHP","Real house price indices, s.a.","1975-Q1","Q1-1975","IDX","Index","0","Units",,,41.7153446845669,,
"CAN","Canada","RHP","Real house price indices, s.a.","1975-Q2","Q2-1975","IDX","Index","0","Units",,,42.6265054420569,,
"CAN","Canada","RHP","Real house price indices, s.a.","1975-Q3","Q3-1975","IDX","Index","0","Units",,,43.3646545547677,,
"CAN","Canada","RHP","Real house price indices, s.a.","1975-Q4","Q4-1975","IDX","Index","0","Units",,,43.6166320775458,,
"CAN","Canada","RHP","Real house price indices, s.a.","1976-Q1","Q1-1976","IDX","Index","0","Units",,,44.2233272559744,,
"CAN","Canada","RHP","Real house price indices, s.a.","1976-Q2","Q2-1976","IDX","Index","0","Units",,,44.3458284476865,,
"CAN","Canada","RHP","Real house price indices, s.a.","1976-Q3","Q3-1976","IDX","Index","0","Units",,,44.3244438023027,,
"CAN","Canada","RHP","Real house price indices, s.a.","1976-Q4","Q4-1976","IDX","Index","0","Units",,,44.648705929414,,
"CAN","Canada","RHP","Real house price indices, s.a.","1977-Q1","Q1-1977","IDX","Index","0","Units",,,43.6518218735166,,
"CAN","Canada","RHP","Real house price indices, s.a.","1977-Q2","Q2-1977","IDX","Index","0","Units",,,43.1841630489062,,
"CAN","Canada","RHP","Real house price indices, s.a.","1977-Q3","Q3-1977","IDX","Index","0","Units",,,42.6633201112954,,
"CAN","Canada","RHP","Real house price indices, s.a.","1977-Q4","Q4-1977","IDX","Index","0","Units",,,42.3548301017409,,
"CAN","Canada","RHP","Real house price indices, s.a.","1978-Q1","Q1-1978","IDX","Index","0","Units",,,41.2848769241949,,
"CAN","Canada","RHP","Real house price indices, s.a.","1978-Q2","Q2-1978","IDX","Index","0","Units",,,41.9972524470402,,
"CAN","Canada","RHP","Real house price indices, s.a.","1978-Q3","Q3-1978","IDX","Index","0","Units",,,41.5298380317079,,
"CAN","Canada","RHP","Real house price indices, s.a.","1978-Q4","Q4-1978","IDX","Index","0","Units",,,41.6017621209183,,
"CAN","Canada","RHP","Real house price indices, s.a.","1979-Q1","Q1-1979","IDX","Index","0","Units",,,42.2728208119118,,
"CAN","Canada","RHP","Real house price indices, s.a.","1979-Q2","Q2-1979","IDX","Index","0","Units",,,42.3949599167009,,
"CAN","Canada","RHP","Real house price indices, s.a.","1979-Q3","Q3-1979","IDX","Index","0","Units",,,41.8282069747317,,
"CAN","Canada","RHP","Real house price indices, s.a.","1979-Q4","Q4-1979","IDX","Index","0","Units",,,41.8213362118433,,
"CAN","Canada","RHP","Real house price indices, s.a.","1980-Q1","Q1-1980","IDX","Index","0","Units",,,41.5854292153795,,
"CAN","Canada","RHP","Real house price indices, s.a.","1980-Q2","Q2-1980","IDX","Index","0","Units",,,42.4436721108235,,
"CAN","Canada","RHP","Real house price indices, s.a.","1980-Q3","Q3-1980","IDX","Index","0","Units",,,43.6624038764638,,
"CAN","Canada","RHP","Real house price indices, s.a.","1980-Q4","Q4-1980","IDX","Index","0","Units",,,44.3526984040687,,
"CAN","Canada","RHP","Real house price indices, s.a.","1981-Q1","Q1-1981","IDX","Index","0","Units",,,44.7367336552585,,
"CAN","Canada","RHP","Real house price indices, s.a.","1981-Q2","Q2-1981","IDX","Index","0","Units",,,44.1344494129203,,
"CAN","Canada","RHP","Real house price indices, s.a.","1981-Q3","Q3-1981","IDX","Index","0","Units",,,44.3745732249098,,
"CAN","Canada","RHP","Real house price indices, s.a.","1981-Q4","Q4-1981","IDX","Index","0","Units",,,43.7458041757382,,
"CAN","Canada","RHP","Real house price indices, s.a.","1982-Q1","Q1-1982","IDX","Index","0","Units",,,40.7799948828251,,
"CAN","Canada","RHP","Real house price indices, s.a.","1982-Q2","Q2-1982","IDX","Index","0","Units",,,38.022076916707,,
"CAN","Canada","RHP","Real house price indices, s.a.","1982-Q3","Q3-1982","IDX","Index","0","Units",,,36.7825078765242,,
"CAN","Canada","RHP","Real house price indices, s.a.","1982-Q4","Q4-1982","IDX","Index","0","Units",,,36.5853179050222,,
"CAN","Canada","RHP","Real house price indices, s.a.","1983-Q1","Q1-1983","IDX","Index","0","Units",,,38.2860655845229,,
"CAN","Canada","RHP","Real house price indices, s.a.","1983-Q2","Q2-1983","IDX","Index","0","Units",,,37.9343449681871,,
"CAN","Canada","RHP","Real house price indices, s.a.","1983-Q3","Q3-1983","IDX","Index","0","Units",,,37.3138662454488,,
"CAN","Canada","RHP","Real house price indices, s.a.","1983-Q4","Q4-1983","IDX","Index","0","Units",,,36.5970079075575,,
"CAN","Canada","RHP","Real house price indices, s.a.","1984-Q1","Q1-1984","IDX","Index","0","Units",,,35.6935556229792,,
"CAN","Canada","RHP","Real house price indices, s.a.","1984-Q2","Q2-1984","IDX","Index","0","Units",,,35.8673790589409,,
"CAN","Canada","RHP","Real house price indices, s.a.","1984-Q3","Q3-1984","IDX","Index","0","Units",,,35.6481397024308,,
"CAN","Canada","RHP","Real house price indices, s.a.","1984-Q4","Q4-1984","IDX","Index","0","Units",,,35.3801139544689,,
"CAN","Canada","RHP","Real house price indices, s.a.","1985-Q1","Q1-1985","IDX","Index","0","Units",,,35.1343315094027,,
"CAN","Canada","RHP","Real house price indices, s.a.","1985-Q2","Q2-1985","IDX","Index","0","Units",,,35.7537386078198,,
"CAN","Canada","RHP","Real house price indices, s.a.","1985-Q3","Q3-1985","IDX","Index","0","Units",,,36.4896378092558,,
"CAN","Canada","RHP","Real house price indices, s.a.","1985-Q4","Q4-1985","IDX","Index","0","Units",,,37.2086752606615,,
"CAN","Canada","RHP","Real house price indices, s.a.","1986-Q1","Q1-1986","IDX","Index","0","Units",,,37.6635244535966,,
"CAN","Canada","RHP","Real house price indices, s.a.","1986-Q2","Q2-1986","IDX","Index","0","Units",,,39.86691080452,,
"CAN","Canada","RHP","Real house price indices, s.a.","1986-Q3","Q3-1986","IDX","Index","0","Units",,,41.0186917052334,,
"CAN","Canada","RHP","Real house price indices, s.a.","1986-Q4","Q4-1986","IDX","Index","0","Units",,,42.4961595106949,,
"CAN","Canada","RHP","Real house price indices, s.a.","1987-Q1","Q1-1987","IDX","Index","0","Units",,,44.3636273242925,,
"CAN","Canada","RHP","Real house price indices, s.a.","1987-Q2","Q2-1987","IDX","Index","0","Units",,,44.309851471468,,
"CAN","Canada","RHP","Real house price indices, s.a.","1987-Q3","Q3-1987","IDX","Index","0","Units",,,45.0534447519197,,
"CAN","Canada","RHP","Real house price indices, s.a.","1987-Q4","Q4-1987","IDX","Index","0","Units",,,45.9717619681354,,
"CAN","Canada","RHP","Real house price indices, s.a.","1988-Q1","Q1-1988","IDX","Index","0","Units",,,48.4620604102445,,
"CAN","Canada","RHP","Real house price indices, s.a.","1988-Q2","Q2-1988","IDX","Index","0","Units",,,50.191201482116,,
"CAN","Canada","RHP","Real house price indices, s.a.","1988-Q3","Q3-1988","IDX","Index","0","Units",,,51.2400523644323,,
"CAN","Canada","RHP","Real house price indices, s.a.","1988-Q4","Q4-1988","IDX","Index","0","Units",,,53.4017841809987,,
"CAN","Canada","RHP","Real house price indices, s.a.","1989-Q1","Q1-1989","IDX","Index","0","Units",,,56.9126518812308,,
"CAN","Canada","RHP","Real house price indices, s.a.","1989-Q2","Q2-1989","IDX","Index","0","Units",,,52.6503168708836,,
"CAN","Canada","RHP","Real house price indices, s.a.","1989-Q3","Q3-1989","IDX","Index","0","Units",,,54.5468376754082,,
"CAN","Canada","RHP","Real house price indices, s.a.","1989-Q4","Q4-1989","IDX","Index","0","Units",,,56.108903405892,,
"CAN","Canada","RHP","Real house price indices, s.a.","1990-Q1","Q1-1990","IDX","Index","0","Units",,,53.5212689529837,,
"CAN","Canada","RHP","Real house price indices, s.a.","1990-Q2","Q2-1990","IDX","Index","0","Units",,,50.670839503245,,
"CAN","Canada","RHP","Real house price indices, s.a.","1990-Q3","Q3-1990","IDX","Index","0","Units",,,51.5392678051345,,
"CAN","Canada","RHP","Real house price indices, s.a.","1990-Q4","Q4-1990","IDX","Index","0","Units",,,50.0972883068917,,
"CAN","Canada","RHP","Real house price indices, s.a.","1991-Q1","Q1-1991","IDX","Index","0","Units",,,50.7069265111539,,
"CAN","Canada","RHP","Real house price indices, s.a.","1991-Q2","Q2-1991","IDX","Index","0","Units",,,53.1177078530436,,
"CAN","Canada","RHP","Real house price indices, s.a.","1991-Q3","Q3-1991","IDX","Index","0","Units",,,50.698457356235,,
"CAN","Canada","RHP","Real house price indices, s.a.","1991-Q4","Q4-1991","IDX","Index","0","Units",,,50.727945112983,,
"CAN","Canada","RHP","Real house price indices, s.a.","1992-Q1","Q1-1992","IDX","Index","0","Units",,,50.9231280643217,,
"CAN","Canada","RHP","Real house price indices, s.a.","1992-Q2","Q2-1992","IDX","Index","0","Units",,,51.6151601918018,,
"CAN","Canada","RHP","Real house price indices, s.a.","1992-Q3","Q3-1992","IDX","Index","0","Units",,,52.3197760499195,,
"CAN","Canada","RHP","Real house price indices, s.a.","1992-Q4","Q4-1992","IDX","Index","0","Units",,,52.5290354017188,,
"CAN","Canada","RHP","Real house price indices, s.a.","1993-Q1","Q1-1993","IDX","Index","0","Units",,,52.353324612402,,
"CAN","Canada","RHP","Real house price indices, s.a.","1993-Q2","Q2-1993","IDX","Index","0","Units",,,52.2626807185043,,
"CAN","Canada","RHP","Real house price indices, s.a.","1993-Q3","Q3-1993","IDX","Index","0","Units",,,51.7575106158371,,
"CAN","Canada","RHP","Real house price indices, s.a.","1993-Q4","Q4-1993","IDX","Index","0","Units",,,51.3926700321026,,
"CAN","Canada","RHP","Real house price indices, s.a.","1994-Q1","Q1-1994","IDX","Index","0","Units",,,53.6945971471083,,
"CAN","Canada","RHP","Real house price indices, s.a.","1994-Q2","Q2-1994","IDX","Index","0","Units",,,53.1784740644698,,
"CAN","Canada","RHP","Real house price indices, s.a.","1994-Q3","Q3-1994","IDX","Index","0","Units",,,52.8810675096654,,
"CAN","Canada","RHP","Real house price indices, s.a.","1994-Q4","Q4-1994","IDX","Index","0","Units",,,52.6400895726459,,
"CAN","Canada","RHP","Real house price indices, s.a.","1995-Q1","Q1-1995","IDX","Index","0","Units",,,50.8742223841479,,
"CAN","Canada","RHP","Real house price indices, s.a.","1995-Q2","Q2-1995","IDX","Index","0","Units",,,49.0330013172508,,
"CAN","Canada","RHP","Real house price indices, s.a.","1995-Q3","Q3-1995","IDX","Index","0","Units",,,50.1474945564327,,
"CAN","Canada","RHP","Real house price indices, s.a.","1995-Q4","Q4-1995","IDX","Index","0","Units",,,49.8088559957313,,
"CAN","Canada","RHP","Real house price indices, s.a.","1996-Q1","Q1-1996","IDX","Index","0","Units",,,49.1487021999843,,
"CAN","Canada","RHP","Real house price indices, s.a.","1996-Q2","Q2-1996","IDX","Index","0","Units",,,49.4171234242921,,
"CAN","Canada","RHP","Real house price indices, s.a.","1996-Q3","Q3-1996","IDX","Index","0","Units",,,49.2550719970864,,
"CAN","Canada","RHP","Real house price indices, s.a.","1996-Q4","Q4-1996","IDX","Index","0","Units",,,49.0662383054863,,
"CAN","Canada","RHP","Real house price indices, s.a.","1997-Q1","Q1-1997","IDX","Index","0","Units",,,49.732261372212,,
"CAN","Canada","RHP","Real house price indices, s.a.","1997-Q2","Q2-1997","IDX","Index","0","Units",,,50.1058008415963,,
"CAN","Canada","RHP","Real house price indices, s.a.","1997-Q3","Q3-1997","IDX","Index","0","Units",,,49.9078051577429,,
"CAN","Canada","RHP","Real house price indices, s.a.","1997-Q4","Q4-1997","IDX","Index","0","Units",,,49.3156869403732,,
"CAN","Canada","RHP","Real house price indices, s.a.","1998-Q1","Q1-1998","IDX","Index","0","Units",,,49.0015857633497,,
"CAN","Canada","RHP","Real house price indices, s.a.","1998-Q2","Q2-1998","IDX","Index","0","Units",,,48.4500160753532,,
"CAN","Canada","RHP","Real house price indices, s.a.","1998-Q3","Q3-1998","IDX","Index","0","Units",,,48.0768179405806,,
"CAN","Canada","RHP","Real house price indices, s.a.","1998-Q4","Q4-1998","IDX","Index","0","Units",,,48.4053053529026,,
"CAN","Canada","RHP","Real house price indices, s.a.","1999-Q1","Q1-1999","IDX","Index","0","Units",,,48.7814484652965,,
"CAN","Canada","RHP","Real house price indices, s.a.","1999-Q2","Q2-1999","IDX","Index","0","Units",,,49.0198527412952,,
"CAN","Canada","RHP","Real house price indices, s.a.","1999-Q3","Q3-1999","IDX","Index","0","Units",,,49.0597096246652,,
"CAN","Canada","RHP","Real house price indices, s.a.","1999-Q4","Q4-1999","IDX","Index","0","Units",,,49.2874066980092,,
"CAN","Canada","RHP","Real house price indices, s.a.","2000-Q1","Q1-2000","IDX","Index","0","Units",,,49.6863586660802,,
"CAN","Canada","RHP","Real house price indices, s.a.","2000-Q2","Q2-2000","IDX","Index","0","Units",,,49.979878171547,,
"CAN","Canada","RHP","Real house price indices, s.a.","2000-Q3","Q3-2000","IDX","Index","0","Units",,,50.10736295753,,
"CAN","Canada","RHP","Real house price indices, s.a.","2000-Q4","Q4-2000","IDX","Index","0","Units",,,50.2755509727671,,
"CAN","Canada","RHP","Real house price indices, s.a.","2001-Q1","Q1-2001","IDX","Index","0","Units",,,50.8172990765623,,
"CAN","Canada","RHP","Real house price indices, s.a.","2001-Q2","Q2-2001","IDX","Index","0","Units",,,50.6622284257346,,
"CAN","Canada","RHP","Real house price indices, s.a.","2001-Q3","Q3-2001","IDX","Index","0","Units",,,51.3895353052484,,
"CAN","Canada","RHP","Real house price indices, s.a.","2001-Q4","Q4-2001","IDX","Index","0","Units",,,52.3482527422853,,
"CAN","Canada","RHP","Real house price indices, s.a.","2002-Q1","Q1-2002","IDX","Index","0","Units",,,53.1727548219549,,
"CAN","Canada","RHP","Real house price indices, s.a.","2002-Q2","Q2-2002","IDX","Index","0","Units",,,54.0842024379355,,
"CAN","Canada","RHP","Real house price indices, s.a.","2002-Q3","Q3-2002","IDX","Index","0","Units",,,54.7285686839113,,
"CAN","Canada","RHP","Real house price indices, s.a.","2002-Q4","Q4-2002","IDX","Index","0","Units",,,55.5089489663417,,
"CAN","Canada","RHP","Real house price indices, s.a.","2003-Q1","Q1-2003","IDX","Index","0","Units",,,56.4860828300101,,
"CAN","Canada","RHP","Real house price indices, s.a.","2003-Q2","Q2-2003","IDX","Index","0","Units",,,57.4495399632408,,
"CAN","Canada","RHP","Real house price indices, s.a.","2003-Q3","Q3-2003","IDX","Index","0","Units",,,58.2028352839515,,
"CAN","Canada","RHP","Real house price indices, s.a.","2003-Q4","Q4-2003","IDX","Index","0","Units",,,59.5820902767898,,
"CAN","Canada","RHP","Real house price indices, s.a.","2004-Q1","Q1-2004","IDX","Index","0","Units",,,60.5621544316663,,
"CAN","Canada","RHP","Real house price indices, s.a.","2004-Q2","Q2-2004","IDX","Index","0","Units",,,61.2676131635239,,
"CAN","Canada","RHP","Real house price indices, s.a.","2004-Q3","Q3-2004","IDX","Index","0","Units",,,62.1492857012538,,
"CAN","Canada","RHP","Real house price indices, s.a.","2004-Q4","Q4-2004","IDX","Index","0","Units",,,63.0182719252088,,
"CAN","Canada","RHP","Real house price indices, s.a.","2005-Q1","Q1-2005","IDX","Index","0","Units",,,64.094283945,,
"CAN","Canada","RHP","Real house price indices, s.a.","2005-Q2","Q2-2005","IDX","Index","0","Units",,,65.1958725136627,,
"CAN","Canada","RHP","Real house price indices, s.a.","2005-Q3","Q3-2005","IDX","Index","0","Units",,,65.8402455249079,,
"CAN","Canada","RHP","Real house price indices, s.a.","2005-Q4","Q4-2005","IDX","Index","0","Units",,,67.3178631482456,,
"CAN","Canada","RHP","Real house price indices, s.a.","2006-Q1","Q1-2006","IDX","Index","0","Units",,,69.0118097364161,,
"CAN","Canada","RHP","Real house price indices, s.a.","2006-Q2","Q2-2006","IDX","Index","0","Units",,,71.0536605032103,,
"CAN","Canada","RHP","Real house price indices, s.a.","2006-Q3","Q3-2006","IDX","Index","0","Units",,,73.8437100837803,,
"CAN","Canada","RHP","Real house price indices, s.a.","2006-Q4","Q4-2006","IDX","Index","0","Units",,,75.6291474094251,,
"CAN","Canada","RHP","Real house price indices, s.a.","2007-Q1","Q1-2007","IDX","Index","0","Units",,,76.3085176318458,,
"CAN","Canada","RHP","Real house price indices, s.a.","2007-Q2","Q2-2007","IDX","Index","0","Units",,,78.7277293822914,,
"CAN","Canada","RHP","Real house price indices, s.a.","2007-Q3","Q3-2007","IDX","Index","0","Units",,,80.8664968602062,,
"CAN","Canada","RHP","Real house price indices, s.a.","2007-Q4","Q4-2007","IDX","Index","0","Units",,,82.2110087048364,,
"CAN","Canada","RHP","Real house price indices, s.a.","2008-Q1","Q1-2008","IDX","Index","0","Units",,,83.2412695102451,,
"CAN","Canada","RHP","Real house price indices, s.a.","2008-Q2","Q2-2008","IDX","Index","0","Units",,,83.4369861628246,,
"CAN","Canada","RHP","Real house price indices, s.a.","2008-Q3","Q3-2008","IDX","Index","0","Units",,,82.4169632992591,,
"CAN","Canada","RHP","Real house price indices, s.a.","2008-Q4","Q4-2008","IDX","Index","0","Units",,,81.5000299582884,,
"CAN","Canada","RHP","Real house price indices, s.a.","2009-Q1","Q1-2009","IDX","Index","0","Units",,,79.4933196809885,,
"CAN","Canada","RHP","Real house price indices, s.a.","2009-Q2","Q2-2009","IDX","Index","0","Units",,,78.3807668584604,,
"CAN","Canada","RHP","Real house price indices, s.a.","2009-Q3","Q3-2009","IDX","Index","0","Units",,,80.1521386767132,,
"CAN","Canada","RHP","Real house price indices, s.a.","2009-Q4","Q4-2009","IDX","Index","0","Units",,,82.8072950687416,,
"CAN","Canada","RHP","Real house price indices, s.a.","2010-Q1","Q1-2010","IDX","Index","0","Units",,,85.5764649118925,,
"CAN","Canada","RHP","Real house price indices, s.a.","2010-Q2","Q2-2010","IDX","Index","0","Units",,,86.8536409545756,,
"CAN","Canada","RHP","Real house price indices, s.a.","2010-Q3","Q3-2010","IDX","Index","0","Units",,,86.6442034075776,,
"CAN","Canada","RHP","Real house price indices, s.a.","2010-Q4","Q4-2010","IDX","Index","0","Units",,,85.7571040234562,,
"CAN","Canada","RHP","Real house price indices, s.a.","2011-Q1","Q1-2011","IDX","Index","0","Units",,,87.0440418611569,,
"CAN","Canada","RHP","Real house price indices, s.a.","2011-Q2","Q2-2011","IDX","Index","0","Units",,,88.0598941528079,,
"CAN","Canada","RHP","Real house price indices, s.a.","2011-Q3","Q3-2011","IDX","Index","0","Units",,,89.4127002963079,,
"CAN","Canada","RHP","Real house price indices, s.a.","2011-Q4","Q4-2011","IDX","Index","0","Units",,,89.9273903644078,,
"CAN","Canada","RHP","Real house price indices, s.a.","2012-Q1","Q1-2012","IDX","Index","0","Units",,,90.7467694502253,,
"CAN","Canada","RHP","Real house price indices, s.a.","2012-Q2","Q2-2012","IDX","Index","0","Units",,,91.7589801538832,,
"CAN","Canada","RHP","Real house price indices, s.a.","2012-Q3","Q3-2012","IDX","Index","0","Units",,,92.1321613528725,,
"CAN","Canada","RHP","Real house price indices, s.a.","2012-Q4","Q4-2012","IDX","Index","0","Units",,,92.143971428714,,
"CAN","Canada","RHP","Real house price indices, s.a.","2013-Q1","Q1-2013","IDX","Index","0","Units",,,91.9307061731158,,
"CAN","Canada","RHP","Real house price indices, s.a.","2013-Q2","Q2-2013","IDX","Index","0","Units",,,92.5160503060365,,
"CAN","Canada","RHP","Real house price indices, s.a.","2013-Q3","Q3-2013","IDX","Index","0","Units",,,92.8899474483497,,
"CAN","Canada","RHP","Real house price indices, s.a.","2013-Q4","Q4-2013","IDX","Index","0","Units",,,93.9309995571917,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1970-Q1","Q1-1970","IDX","Index","0","Units",,,19.6917025658045,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1970-Q2","Q2-1970","IDX","Index","0","Units",,,19.7319923244845,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1970-Q3","Q3-1970","IDX","Index","0","Units",,,19.9724989261977,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1970-Q4","Q4-1970","IDX","Index","0","Units",,,20.1465843667297,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1971-Q1","Q1-1971","IDX","Index","0","Units",,,20.0734372889987,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1971-Q2","Q2-1971","IDX","Index","0","Units",,,20.4589855867801,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1971-Q3","Q3-1971","IDX","Index","0","Units",,,20.5860336901094,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1971-Q4","Q4-1971","IDX","Index","0","Units",,,21.1862571693932,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1972-Q1","Q1-1972","IDX","Index","0","Units",,,21.4612683431039,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1972-Q2","Q2-1972","IDX","Index","0","Units",,,21.6279689876153,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1972-Q3","Q3-1972","IDX","Index","0","Units",,,22.0626717446096,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1972-Q4","Q4-1972","IDX","Index","0","Units",,,22.7255268347801,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1973-Q1","Q1-1973","IDX","Index","0","Units",,,23.5284954210315,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1973-Q2","Q2-1973","IDX","Index","0","Units",,,24.895998088094,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1973-Q3","Q3-1973","IDX","Index","0","Units",,,26.970293064194,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1973-Q4","Q4-1973","IDX","Index","0","Units",,,29.0782907424612,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1974-Q1","Q1-1974","IDX","Index","0","Units",,,31.5714265957148,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1974-Q2","Q2-1974","IDX","Index","0","Units",,,33.0304410946671,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1974-Q3","Q3-1974","IDX","Index","0","Units",,,32.7251113427917,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1974-Q4","Q4-1974","IDX","Index","0","Units",,,32.0977231416779,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1975-Q1","Q1-1975","IDX","Index","0","Units",,,33.0790539734669,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1975-Q2","Q2-1975","IDX","Index","0","Units",,,33.9385288388048,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1975-Q3","Q3-1975","IDX","Index","0","Units",,,34.8576781163681,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1975-Q4","Q4-1975","IDX","Index","0","Units",,,35.1537845201631,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1976-Q1","Q1-1976","IDX","Index","0","Units",,,35.6588167332499,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1976-Q2","Q2-1976","IDX","Index","0","Units",,,35.8970825321752,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1976-Q3","Q3-1976","IDX","Index","0","Units",,,35.8214759473079,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1976-Q4","Q4-1976","IDX","Index","0","Units",,,36.0105266814725,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1977-Q1","Q1-1977","IDX","Index","0","Units",,,35.5793845208869,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1977-Q2","Q2-1977","IDX","Index","0","Units",,,35.3715206675101,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1977-Q3","Q3-1977","IDX","Index","0","Units",,,35.2790928679099,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1977-Q4","Q4-1977","IDX","Index","0","Units",,,35.1373722718956,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1978-Q1","Q1-1978","IDX","Index","0","Units",,,34.529142344673,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1978-Q2","Q2-1978","IDX","Index","0","Units",,,35.3133294613994,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1978-Q3","Q3-1978","IDX","Index","0","Units",,,35.3309391338369,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1978-Q4","Q4-1978","IDX","Index","0","Units",,,35.8583044620167,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1979-Q1","Q1-1979","IDX","Index","0","Units",,,36.663083268651,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1979-Q2","Q2-1979","IDX","Index","0","Units",,,37.2438860865932,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1979-Q3","Q3-1979","IDX","Index","0","Units",,,37.1663340344433,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1979-Q4","Q4-1979","IDX","Index","0","Units",,,37.6355694490516,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1980-Q1","Q1-1980","IDX","Index","0","Units",,,37.8053648179921,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1980-Q2","Q2-1980","IDX","Index","0","Units",,,39.1578687610282,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1980-Q3","Q3-1980","IDX","Index","0","Units",,,40.7508432569278,,
"CAN","Canada","HPI_RPI","Price to rent ratio","1980-Q4","Q4-1980","IDX","Index","0","Units",,,42.1018715753727,,
